Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
17	148173.0	21322.0	12567.0
2	153022.0	24767.0	13749.0
20	157765.0	33035.0	16632.0
26	161401.0	40097.0	47470.0
27	160198.0	39076.0	41242.0
28	169055.0	53350.0	58380.0
29	163544.0	45484.0	50794.0
30	161714.0	46377.0	55675.0
31	151461.0	34484.0	36428.0
32	149516.0	32050.0	29821.0
33	147500.0	31939.0	32846.0
5	145550.0	19814.0	11743.0
