Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
17_1	347.0	973.5	1701.5	1714.0	1617.0	1983.5	2424.0	3314.0	4210.5	5850.0	7530.5	11064.5	14693.5	20797.5	27481.5	39303.5	51977.0	74113.0	97141.0	131931.0	167701.5	218621.0	270770.5	339238.0	409653.5	479844.5	595281.5	697469.0	810539.5	922690.0	1043098.5	1174879.5	1312697.0	1448991.0	1582404.0	1712620.5	1870262.5	2041999.5	2181690.5	2310521.5	2390495.0	2463667.0	2552185.5	2595625.5	2645058.5	2734371.5	2878651.5	3137709.0	3651101.5	3892504.5	3391173.5	3005628.0	3003954.0	3139402.5	3446998.0	3494771.5	3347073.5	3588118.0	4289899.0	4690876.5	4096681.5	3225224.5	2768886.5	2526474.0	2439200.5	2312987.5	1925353.5	1549847.0	1338548.0	1173346.0	1067098.5	1004928.0	926068.0	850786.5	827906.5	815697.5	799009.0	794617.5	788686.0	738068.0	691957.5	701672.0	712898.5	612461.0	512810.0	517311.5	501464.5	455205.5	429290.5	366046.5	292981.5	258401.5	229754.0	192895.5	156082.5	132857.0	110035.0	59998.5	10042.0	5473.5	998.0
17_2	479.0	791.0	1117.0	1880.5	2671.5	3913.5	5257.5	6770.0	8249.5	10250.0	12371.0	15599.5	18855.5	24955.5	31690.0	43557.0	56129.5	76818.5	98422.5	131178.0	164758.5	211019.0	258954.0	321149.5	384671.5	450381.5	562047.0	654822.5	754132.5	858569.5	971719.5	1090445.0	1207860.0	1328958.0	1453598.5	1578021.0	1702046.5	1823174.5	1935964.0	2055279.5	2158205.5	2266973.0	2414329.0	2510691.5	2486035.0	2457217.5	2499391.5	2576927.0	2612597.5	2604801.5	2614544.5	2617010.5	2616684.5	2629844.5	2626062.0	2715238.0	3006165.5	3335834.5	3459857.0	3338435.5	3159592.5	3103176.0	3069030.0	2905766.5	2747724.0	2991058.5	3684371.0	3828256.5	2801511.0	1946577.0	1911938.0	1701190.5	1274258.0	1088005.0	1082538.0	1066123.5	1022851.5	1008285.5	1003363.0	974461.0	930459.0	881055.0	836709.0	808969.5	784401.0	677604.5	570900.5	495965.5	425906.5	396576.5	366206.0	334861.5	304125.0	226657.5	149918.5	152408.0	154723.0	110769.5	83224.5	125715.5	151225.0
20_1	11731.0	8951.0	6198.5	4849.0	3421.5	3643.0	3966.5	4894.0	5841.0	8022.5	10257.5	14302.0	18430.0	25757.5	33907.0	46226.0	59211.5	83640.5	109584.0	149705.0	190090.5	245426.0	302329.5	376161.0	452370.5	529693.0	652475.5	757582.5	882356.5	1010719.5	1152061.5	1309184.5	1467990.0	1627600.0	1794484.0	1957020.0	2136674.0	2324864.0	2491054.5	2670302.5	2825073.5	2972450.5	3111788.5	3209578.0	3320378.0	3449566.5	3624132.0	3904434.0	4298137.0	4466727.0	4204736.0	4020958.5	4074876.0	4288951.0	4612289.0	4683179.0	4604218.0	4778014.5	5306042.5	5596188.0	5050277.0	4348220.0	3955861.5	3676081.5	3514638.5	3292076.5	2849130.0	2388708.5	2060504.0	1806903.5	1597236.5	1415609.5	1259319.5	1120949.0	998555.0	895707.5	844138.5	792599.5	745569.5	694544.0	646292.0	630189.0	619483.5	541645.5	458749.5	445995.0	426075.0	388768.5	363086.0	314688.5	260335.0	246795.5	236749.5	192077.5	147418.0	126784.0	106451.0	58164.0	9894.5	5460.5	1108.0
20_2	967.0	1657.0	2390.0	4438.5	6605.0	9794.0	13144.0	16638.0	20189.5	23917.5	27799.5	31975.0	36068.0	41692.0	47859.5	58164.0	69103.5	87148.5	105622.5	132592.0	160765.0	201539.0	243495.0	296808.5	351590.0	411516.0	515324.0	604784.5	703965.5	810680.0	929959.0	1058350.5	1193897.5	1338036.5	1493664.0	1655612.5	1824421.0	1995977.5	2154196.0	2329077.5	2495546.5	2654502.5	2813034.0	2935954.0	3009343.0	3082808.0	3191707.5	3312827.5	3405295.0	3477345.5	3547702.0	3619668.5	3700543.5	3782442.0	3851264.0	3980750.0	4222458.0	4438963.0	4524014.5	4528011.5	4482313.0	4395847.0	4291965.5	4109538.0	3906470.0	3966992.0	4288675.5	4271261.5	3433300.0	2563987.5	2324576.0	2138100.0	1787115.5	1546932.0	1461999.0	1367955.0	1280813.5	1201175.0	1130340.5	1077792.5	1013651.0	947142.0	884858.5	808426.0	736313.5	653643.0	572218.5	491758.5	416084.5	365461.5	314915.0	278235.0	241829.5	191066.5	141738.5	143095.0	144538.0	119593.0	146886.0	280076.5	359395.0
26	566.0	435.5	334.0	376.5	404.0	463.5	567.5	726.5	945.0	1163.0	1456.5	1897.5	2574.5	3590.0	5224.5	8195.0	12707.5	19859.0	31808.0	50868.5	79906.0	121542.0	179406.0	258073.0	358807.0	489501.5	651982.0	849401.5	1080056.0	1323996.5	1575803.5	1855738.0	2136590.5	2400397.0	2665452.5	2918094.0	3154253.0	3379439.5	3577854.5	3728253.0	3858349.5	3966818.0	4041989.0	4161557.0	4376266.0	4695817.5	4876363.0	4889751.0	5079005.0	5164459.0	4965932.0	4766416.0	4646163.0	4547555.5	4538461.5	4550488.0	4432070.5	4174979.0	4177234.0	4437018.0	4407055.5	4519599.5	4808506.5	5839188.0	7136154.0	5995667.5	3756769.5	2707731.0	2277543.0	1875559.0	1555397.5	1429076.5	1350193.0	1241175.0	1195208.0	1108732.0	1026799.5	1092787.0	1050179.5	904440.5	786565.0	740162.5	684467.0	634638.0	574427.0	526637.5	492755.0	446988.5	402231.5	342345.0	283115.5	197485.0	110040.0	62588.0	47021.5	41275.5	37331.5	33593.5	31250.0	24462.5	16043.5
27	252.0	204.0	173.5	188.5	203.5	247.5	308.5	390.5	499.5	640.0	820.5	1047.5	1426.5	2026.5	2972.5	4822.0	7862.0	12429.0	20201.0	32686.5	51849.0	80393.5	120384.0	174873.5	244868.0	335465.5	448885.5	582526.0	734270.0	901250.0	1078756.0	1264727.0	1449166.0	1627922.5	1797856.0	1956990.5	2112596.5	2264775.0	2396889.0	2491503.0	2583480.0	2664297.5	2731021.0	3079371.0	3879403.0	5240679.5	5895521.0	5777811.5	6431004.5	6615005.5	5823385.5	5485698.5	5681795.5	5846037.0	6137161.0	6618508.0	6694421.5	5742734.5	5605944.0	6158625.5	5629396.5	5533365.5	5885602.5	6192518.5	6693262.0	5968617.0	4421742.5	3571356.5	2954746.0	2471083.5	2358782.5	2385761.5	2588928.0	2495043.0	2560194.0	2261685.5	2109845.5	2543753.5	2398683.5	2097903.0	1950893.0	2027105.0	1901292.5	1764591.0	1679277.5	1674792.0	1637307.5	1394743.5	1349883.5	1360920.0	1148961.0	772096.5	387346.0	173790.0	113299.0	88098.5	68098.0	57566.0	48235.0	33251.5	22744.5
28	742.0	573.5	425.5	442.0	455.0	516.5	609.5	745.0	1005.0	1301.0	1623.0	2190.5	3111.5	4525.0	6679.5	10329.5	16650.0	27291.0	43939.5	70020.5	109633.5	166516.0	246771.0	354037.0	490131.0	667173.5	887588.0	1140086.0	1422144.5	1730578.0	2057872.5	2398693.0	2739864.0	3066043.5	3377080.5	3669295.5	3950696.5	4221131.5	4457214.5	4635626.0	4795021.0	4944114.5	5027955.5	5169600.0	5404217.0	5663815.0	5837125.0	5901025.0	6234380.0	6484508.5	6327874.5	5961071.0	5572323.0	5334128.0	5170364.5	4962732.5	4684473.5	4432437.0	4389388.0	4559314.0	4550890.5	4629956.5	4811663.5	5757409.5	7002989.5	5919876.0	3689940.0	2567045.5	2167973.0	1776752.5	1418443.0	1267689.0	1163754.5	1058041.5	987158.5	938706.0	884390.0	910080.5	891940.0	753633.0	631443.0	568801.0	514316.0	468611.5	415454.5	368285.5	328517.5	297080.0	249976.0	184276.0	145267.0	110029.0	71059.0	46913.5	38229.5	35088.5	33420.5	31422.0	30595.5	24284.0	15176.0
29	377.0	323.5	299.0	320.5	328.5	393.5	515.5	676.0	878.5	1144.5	1496.5	2004.5	2675.5	3724.5	5526.5	8701.5	13965.5	22495.5	35656.0	56705.0	87662.5	132841.0	196639.0	281151.5	391032.5	532174.5	708787.0	915680.0	1145180.5	1394178.0	1657239.5	1934085.0	2211470.0	2470013.5	2715579.0	2962801.5	3208400.0	3446076.0	3664665.5	3836044.5	4004829.0	4179029.0	4298165.5	4495721.5	4830561.0	5225515.5	5528517.0	5683942.0	6186009.0	6605249.5	6487537.5	6092156.5	5699835.0	5499014.5	5374836.0	5193385.0	4917114.0	4661430.5	4610318.0	4776735.0	4753704.5	4807910.0	4921546.0	5452318.5	6319564.0	5515859.5	3707831.0	2764070.0	2400102.0	2005689.0	1654084.5	1479973.0	1352310.5	1228261.5	1139651.0	1063095.0	991896.5	1044537.5	1042183.0	877990.0	724499.0	652749.0	604459.5	557034.0	499624.5	456307.5	412195.0	383395.0	335444.0	252786.5	198592.0	150372.5	93898.0	53957.0	38770.5	31522.0	26251.0	21454.5	20478.0	15092.0	7762.0
2_1	530.0	1118.5	1799.5	1971.5	2085.0	2612.0	3161.0	3896.0	4648.5	6286.5	8000.0	11753.5	15522.5	21895.0	29110.5	41842.5	55201.0	79535.0	105293.0	143359.0	182039.5	235487.5	289790.0	361178.0	435907.0	510981.5	630048.0	733234.0	852746.5	971270.5	1095075.0	1230276.0	1368183.5	1502559.5	1636462.5	1772737.0	1938538.5	2111360.0	2240112.0	2364705.0	2459576.0	2538455.0	2619152.5	2674477.0	2742268.5	2835591.0	3148784.0	3724009.0	4780314.5	5307441.0	4182703.5	3314309.5	3429184.5	3876698.5	4539744.0	4569172.0	4224354.5	4506450.5	5559890.5	6141751.0	5201960.0	4329514.5	4192223.5	4045222.5	4278676.0	4311057.0	3375606.0	2319277.0	1768895.0	1482025.5	1312668.0	1142734.5	1008050.5	961090.0	864788.5	730901.0	668167.0	656414.0	642492.0	566829.0	491566.0	476985.0	469984.5	416247.0	356018.5	349631.0	338233.0	297683.0	267598.5	219150.0	165496.5	156409.0	150240.0	106021.5	61670.0	47494.0	33564.0	17928.5	2293.5	1472.0	694.0
