Sample	Mapped (with MQ>0)	MQ0
17	103602301.0	14449354.0
2	128321930.0	13711614.0
20	139787792.0	7672021.0
26	149884531.0	19165403.0
27	109574181.0	90987508.0
28	178269594.0	8043565.0
29	159911725.0	11087335.0
30	203898636.0	17801238.0
31	215346823.0	27920821.0
32	82458626.0	109330986.0
33	179056506.0	35262368.0
5	100052799.0	12535621.0
