Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
17_1	1.0749569944045987	5.43597483660854
17_2	1.1262938754813987	6.995458909400955
20_1	1.0661085964985328	2.9085066960739567
20_2	0.6300560623632903	3.2755158841004572
26	0.7812169352992173	3.868932478672418
27	0.5438382476633519	5.080282177765528
28	0.6285515085946664	2.9911680737841375
29	0.36352397932730035	2.0798132804077376
2_1	1.7221497204599965	13.196147253709356
2_2	1.486197552975719	15.067448838092039
30	0.6971105524919807	3.5584214480477163
31	1.4786789517475882	20.333176962979987
32	0.450042738835546	6.311366379215703
33	1.3447039287491083	12.619298726776384
5_1	0.9541052955607199	7.704016516937663
5_2	1.137282209811083	9.222994033195606
