Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
17_1	1.0778040730886893	5.428765938696968
17_2	1.1253005454769316	6.743820215004595
20_1	0.6103401176995362	2.0935984337229083
20_2	0.6389846479408969	3.3158191546729796
26	0.7822454616905221	3.874051612456225
27	0.5446450783841132	5.0877966566845485
28	0.6293698140770277	2.9951716888784325
29	0.36397861106361323	2.082575373791343
2_1	1.7080433268823896	13.16109898449673
2_2	1.4844761663907735	14.896456740917426
30	0.6984726815182726	3.565469611134117
31	1.4818294105151013	20.26515399860811
32	0.45061150187372623	6.418540442068999
33	1.3464250445598025	12.63373131473144
5_1	0.9607144312957335	7.242095063322446
5_2	1.1415580892362032	9.141043180051494
